ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.DosEscenarios2	dosescenarios2	1591235274099	 	3.3.1
USER	Publicar	1	START	1591235275160	1591235275160
USER	ListadoCursos	16	START	1591235275166	1591235275166
USER	ListadoCursos	17	START	1591235275315	1591235275315
USER	Publicar	2	START	1591235275315	1591235275315
USER	ListadoCursos	18	START	1591235275454	1591235275454
USER	Publicar	3	START	1591235275454	1591235275454
REQUEST	2		Home	1591235275316	1591235275466	OK	 
REQUEST	16		Home	1591235275187	1591235275463	OK	 
REQUEST	1		Home	1591235275187	1591235275458	OK	 
REQUEST	3		Home	1591235275455	1591235275496	OK	 
REQUEST	18		Home	1591235275455	1591235275539	OK	 
REQUEST	17		Home	1591235275316	1591235275539	OK	 
USER	ListadoCursos	19	START	1591235275594	1591235275594
USER	Publicar	4	START	1591235275594	1591235275594
REQUEST	19		Home	1591235275594	1591235275609	OK	 
REQUEST	4		Home	1591235275594	1591235275620	OK	 
USER	Publicar	5	START	1591235275733	1591235275733
USER	ListadoCursos	20	START	1591235275744	1591235275744
REQUEST	5		Home	1591235275734	1591235275763	OK	 
REQUEST	20		Home	1591235275745	1591235275763	OK	 
USER	ListadoCursos	21	START	1591235275883	1591235275883
USER	Publicar	6	START	1591235275894	1591235275894
REQUEST	21		Home	1591235275884	1591235275899	OK	 
REQUEST	6		Home	1591235275896	1591235275928	OK	 
USER	ListadoCursos	22	START	1591235276025	1591235276025
USER	Publicar	7	START	1591235276030	1591235276030
REQUEST	22		Home	1591235276026	1591235276043	OK	 
REQUEST	7		Home	1591235276030	1591235276055	OK	 
USER	ListadoCursos	23	START	1591235276173	1591235276173
USER	Publicar	8	START	1591235276173	1591235276173
REQUEST	23		Home	1591235276174	1591235276192	OK	 
REQUEST	8		Home	1591235276174	1591235276200	OK	 
USER	ListadoCursos	24	START	1591235276311	1591235276311
USER	Publicar	9	START	1591235276322	1591235276322
REQUEST	24		Home	1591235276311	1591235276323	OK	 
REQUEST	9		Home	1591235276322	1591235276335	OK	 
USER	ListadoCursos	25	START	1591235276451	1591235276451
REQUEST	25		Home	1591235276452	1591235276461	OK	 
USER	Publicar	10	START	1591235276462	1591235276462
REQUEST	10		Home	1591235276462	1591235276475	OK	 
USER	ListadoCursos	26	START	1591235276592	1591235276592
USER	Publicar	11	START	1591235276603	1591235276603
REQUEST	26		Home	1591235276593	1591235276605	OK	 
REQUEST	11		Home	1591235276604	1591235276616	OK	 
USER	ListadoCursos	27	START	1591235276745	1591235276745
USER	Publicar	12	START	1591235276745	1591235276745
REQUEST	27		Home	1591235276745	1591235276757	OK	 
REQUEST	12		Home	1591235276745	1591235276758	OK	 
USER	ListadoCursos	28	START	1591235276885	1591235276885
USER	Publicar	13	START	1591235276895	1591235276895
REQUEST	28		Home	1591235276885	1591235276897	OK	 
REQUEST	13		Home	1591235276896	1591235276909	OK	 
USER	ListadoCursos	29	START	1591235277020	1591235277020
REQUEST	29		Home	1591235277021	1591235277030	OK	 
USER	Publicar	14	START	1591235277030	1591235277030
REQUEST	14		Home	1591235277031	1591235277042	OK	 
USER	ListadoCursos	30	START	1591235277172	1591235277172
USER	Publicar	15	START	1591235277172	1591235277172
REQUEST	30		Home	1591235277173	1591235277182	OK	 
REQUEST	15		Home	1591235277173	1591235277183	OK	 
USER	Publicar	31	START	1591235277315	1591235277315
USER	ListadoCursos	38	START	1591235277315	1591235277315
REQUEST	31		Home	1591235277315	1591235277327	OK	 
REQUEST	38		Home	1591235277315	1591235277328	OK	 
USER	ListadoCursos	39	START	1591235277452	1591235277452
USER	Publicar	32	START	1591235277452	1591235277452
REQUEST	39		Home	1591235277453	1591235277462	OK	 
REQUEST	32		Home	1591235277453	1591235277462	OK	 
USER	ListadoCursos	40	START	1591235277600	1591235277600
USER	Publicar	33	START	1591235277600	1591235277600
REQUEST	40		Home	1591235277601	1591235277612	OK	 
REQUEST	33		Home	1591235277601	1591235277613	OK	 
USER	ListadoCursos	41	START	1591235277744	1591235277744
USER	Publicar	34	START	1591235277744	1591235277744
REQUEST	41		Home	1591235277744	1591235277758	OK	 
REQUEST	34		Home	1591235277744	1591235277757	OK	 
USER	Publicar	35	START	1591235277885	1591235277885
USER	ListadoCursos	42	START	1591235277885	1591235277885
REQUEST	35		Home	1591235277885	1591235277895	OK	 
REQUEST	42		Home	1591235277885	1591235277895	OK	 
USER	Publicar	36	START	1591235278034	1591235278034
USER	ListadoCursos	43	START	1591235278034	1591235278034
REQUEST	36		Home	1591235278034	1591235278045	OK	 
REQUEST	43		Home	1591235278034	1591235278048	OK	 
USER	Publicar	37	START	1591235278173	1591235278173
USER	ListadoCursos	44	START	1591235278177	1591235278177
