ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.InscribirCurso	inscribircurso	1591034731304	 	3.3.1
USER	InscribirCurso	1	START	1591034732344	1591034732344
REQUEST	1		Home	1591034732372	1591034732392	OK	 
USER	InscribirCurso	2	START	1591034732450	1591034732450
REQUEST	2		Home	1591034732450	1591034732465	OK	 
USER	InscribirCurso	3	START	1591034732541	1591034732541
REQUEST	3		Home	1591034732542	1591034732558	OK	 
USER	InscribirCurso	4	START	1591034732633	1591034732633
REQUEST	4		Home	1591034732634	1591034732648	OK	 
USER	InscribirCurso	5	START	1591034732718	1591034732718
REQUEST	5		Home	1591034732720	1591034732745	OK	 
USER	InscribirCurso	6	START	1591034732809	1591034732809
REQUEST	6		Home	1591034732810	1591034732822	OK	 
USER	InscribirCurso	7	START	1591034732899	1591034732899
REQUEST	7		Home	1591034732899	1591034732912	OK	 
USER	InscribirCurso	8	START	1591034732993	1591034732993
REQUEST	8		Home	1591034732994	1591034733006	OK	 
USER	InscribirCurso	9	START	1591034733084	1591034733084
REQUEST	9		Home	1591034733085	1591034733091	OK	 
USER	InscribirCurso	10	START	1591034733174	1591034733174
REQUEST	10		Home	1591034733176	1591034733190	OK	 
USER	InscribirCurso	11	START	1591034733273	1591034733273
REQUEST	11		Home	1591034733273	1591034733280	OK	 
USER	InscribirCurso	12	START	1591034733362	1591034733362
REQUEST	12		Home	1591034733362	1591034733370	OK	 
USER	InscribirCurso	13	START	1591034733451	1591034733451
REQUEST	13		Home	1591034733452	1591034733465	OK	 
USER	InscribirCurso	14	START	1591034733538	1591034733538
REQUEST	14		Home	1591034733539	1591034733545	OK	 
USER	InscribirCurso	15	START	1591034733634	1591034733634
REQUEST	15		Home	1591034733635	1591034733640	OK	 
USER	InscribirCurso	16	START	1591034733718	1591034733718
REQUEST	16		Home	1591034733719	1591034733723	OK	 
USER	InscribirCurso	17	START	1591034733814	1591034733814
REQUEST	17		Home	1591034733815	1591034733820	OK	 
USER	InscribirCurso	18	START	1591034733903	1591034733903
REQUEST	18		Home	1591034733904	1591034733916	OK	 
USER	InscribirCurso	19	START	1591034733992	1591034733992
REQUEST	19		Home	1591034733993	1591034733997	OK	 
USER	InscribirCurso	20	START	1591034734081	1591034734081
REQUEST	20		Home	1591034734082	1591034734089	OK	 
USER	InscribirCurso	21	START	1591034734172	1591034734172
REQUEST	21		Home	1591034734173	1591034734177	OK	 
