ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.PublicarCurso	publicarcurso	1591031178102	 	3.3.1
USER	PublicarCurso	1	START	1591031179332	1591031179332
REQUEST	1		Home	1591031179361	1591031179381	OK	 
USER	PublicarCurso	2	START	1591031179449	1591031179449
REQUEST	2		Home	1591031179449	1591031179462	OK	 
USER	PublicarCurso	3	START	1591031179550	1591031179550
REQUEST	3		Home	1591031179552	1591031179577	OK	 
USER	PublicarCurso	4	START	1591031179650	1591031179650
REQUEST	4		Home	1591031179651	1591031179671	OK	 
USER	PublicarCurso	5	START	1591031179748	1591031179748
REQUEST	5		Home	1591031179749	1591031179763	OK	 
USER	PublicarCurso	6	START	1591031179853	1591031179853
REQUEST	6		Home	1591031179854	1591031179872	OK	 
USER	PublicarCurso	7	START	1591031179952	1591031179952
REQUEST	7		Home	1591031179952	1591031179966	OK	 
USER	PublicarCurso	8	START	1591031180052	1591031180052
REQUEST	8		Home	1591031180053	1591031180069	OK	 
USER	PublicarCurso	9	START	1591031180151	1591031180151
REQUEST	9		Home	1591031180152	1591031180157	OK	 
USER	PublicarCurso	10	START	1591031180253	1591031180253
REQUEST	10		Home	1591031180254	1591031180261	OK	 
USER	PublicarCurso	11	START	1591031180347	1591031180347
REQUEST	11		Home	1591031180348	1591031180355	OK	 
USER	PublicarCurso	12	START	1591031180449	1591031180449
REQUEST	12		Home	1591031180449	1591031180456	OK	 
USER	PublicarCurso	13	START	1591031180550	1591031180550
REQUEST	13		Home	1591031180550	1591031180558	OK	 
USER	PublicarCurso	14	START	1591031180650	1591031180650
REQUEST	14		Home	1591031180651	1591031180657	OK	 
USER	PublicarCurso	15	START	1591031180750	1591031180750
REQUEST	15		Home	1591031180751	1591031180757	OK	 
USER	PublicarCurso	16	START	1591031180852	1591031180852
REQUEST	16		Home	1591031180852	1591031180857	OK	 
USER	PublicarCurso	17	START	1591031180947	1591031180947
REQUEST	17		Home	1591031180948	1591031180952	OK	 
USER	PublicarCurso	18	START	1591031181049	1591031181049
REQUEST	18		Home	1591031181050	1591031181054	OK	 
USER	PublicarCurso	19	START	1591031181147	1591031181147
REQUEST	19		Home	1591031181148	1591031181155	OK	 
