ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.Transportar2EscaneriosPerfomance	transportar2escaneriosperfomance	1590747969250	 	3.3.1
USER	transportarPos	8	START	1590747970857	1590747970857
USER	transportarNeg	1	START	1590747970851	1590747970851
REQUEST	1		Home	1590747970885	1590747970922	OK	 
REQUEST	8		Home	1590747970885	1590747970922	OK	 
REQUEST	8		request_1	1590747971005	1590747971012	OK	 
REQUEST	1		request_1	1590747971005	1590747971011	OK	 
USER	transportarPos	9	START	1590747971186	1590747971186
REQUEST	9		Home	1590747971187	1590747971193	OK	 
USER	transportarNeg	2	START	1590747971197	1590747971197
REQUEST	9		request_1	1590747971197	1590747971203	OK	 
REQUEST	2		Home	1590747971197	1590747971213	OK	 
REQUEST	2		request_1	1590747971215	1590747971219	OK	 
USER	transportarPos	10	START	1590747971521	1590747971521
REQUEST	10		Home	1590747971521	1590747971527	OK	 
USER	transportarNeg	3	START	1590747971526	1590747971526
REQUEST	10		request_1	1590747971531	1590747971537	OK	 
REQUEST	3		Home	1590747971528	1590747971546	OK	 
REQUEST	3		request_1	1590747971550	1590747971555	OK	 
USER	transportarPos	11	START	1590747971861	1590747971861
USER	transportarNeg	4	START	1590747971861	1590747971861
REQUEST	11		Home	1590747971862	1590747971869	OK	 
REQUEST	4		Home	1590747971862	1590747971882	OK	 
REQUEST	11		request_1	1590747971879	1590747971884	OK	 
REQUEST	4		request_1	1590747971885	1590747971890	OK	 
USER	transportarNeg	5	START	1590747972198	1590747972198
USER	transportarPos	12	START	1590747972198	1590747972198
REQUEST	12		Home	1590747972199	1590747972206	OK	 
REQUEST	5		Home	1590747972198	1590747972217	OK	 
REQUEST	12		request_1	1590747972214	1590747972219	OK	 
REQUEST	5		request_1	1590747972221	1590747972225	OK	 
USER	transportarPos	13	START	1590747972531	1590747972531
USER	transportarNeg	6	START	1590747972531	1590747972531
REQUEST	13		Home	1590747972531	1590747972538	OK	 
REQUEST	6		Home	1590747972531	1590747972549	OK	 
REQUEST	13		request_1	1590747972546	1590747972551	OK	 
REQUEST	6		request_1	1590747972552	1590747972556	OK	 
USER	transportarNeg	7	START	1590747972856	1590747972856
USER	transportarPos	14	START	1590747972856	1590747972856
REQUEST	14		Home	1590747972856	1590747972864	OK	 
REQUEST	7		Home	1590747972856	1590747972870	OK	 
REQUEST	14		request_1	1590747972867	1590747972871	OK	 
REQUEST	7		request_1	1590747972873	1590747972877	OK	 
USER	transportarPos	18	START	1590747973188	1590747973188
USER	transportarNeg	15	START	1590747973188	1590747973188
REQUEST	18		Home	1590747973189	1590747973195	OK	 
REQUEST	15		Home	1590747973189	1590747973195	OK	 
REQUEST	15		request_1	1590747973198	1590747973204	OK	 
REQUEST	18		request_1	1590747973198	1590747973205	OK	 
USER	transportarPos	19	START	1590747973516	1590747973516
USER	transportarNeg	16	START	1590747973516	1590747973516
REQUEST	19		Home	1590747973517	1590747973524	OK	 
REQUEST	16		Home	1590747973517	1590747973525	OK	 
REQUEST	16		request_1	1590747973527	1590747973533	OK	 
REQUEST	19		request_1	1590747973527	1590747973534	OK	 
USER	transportarNeg	17	START	1590747973850	1590747973850
USER	transportarPos	20	START	1590747973850	1590747973850
REQUEST	17		Home	1590747973851	1590747973858	OK	 
REQUEST	20		Home	1590747973851	1590747973858	OK	 
REQUEST	20		request_1	1590747973861	1590747973868	OK	 
REQUEST	17		request_1	1590747973861	1590747973872	OK	 
USER	transportarPos	24	START	1590747974191	1590747974191
USER	transportarNeg	21	START	1590747974191	1590747974191
REQUEST	24		Home	1590747974191	1590747974199	OK	 
REQUEST	21		Home	1590747974191	1590747974199	OK	 
REQUEST	24		request_1	1590747974202	1590747974207	OK	 
REQUEST	21		request_1	1590747974202	1590747974208	OK	 
USER	transportarNeg	22	START	1590747974520	1590747974520
USER	transportarPos	25	START	1590747974520	1590747974520
REQUEST	22		Home	1590747974520	1590747974527	OK	 
REQUEST	25		Home	1590747974520	1590747974527	OK	 
REQUEST	22		request_1	1590747974529	1590747974535	OK	 
REQUEST	25		request_1	1590747974529	1590747974535	OK	 
USER	transportarNeg	23	START	1590747974858	1590747974858
USER	transportarPos	26	START	1590747974858	1590747974858
REQUEST	23		Home	1590747974858	1590747974865	OK	 
REQUEST	26		Home	1590747974858	1590747974865	OK	 
REQUEST	23		request_1	1590747974867	1590747974872	OK	 
REQUEST	26		request_1	1590747974867	1590747974872	OK	 
USER	transportarPos	29	START	1590747975357	1590747975357
