ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.TransportesAcabadosPerfomance	transportesacabadosperfomance	1590688537350	 	3.3.1
USER	TransportesAcabados	1	START	1590688539026	1590688539026
REQUEST	1		Home	1590688539055	1590688539092	OK	 
REQUEST	1		request_1	1590688539181	1590688539188	OK	 
USER	TransportesAcabados	2	START	1590688539200	1590688539200
REQUEST	2		Home	1590688539201	1590688539220	OK	 
REQUEST	2		request_1	1590688539223	1590688539229	OK	 
USER	TransportesAcabados	3	START	1590688539363	1590688539363
REQUEST	3		Home	1590688539365	1590688539382	OK	 
REQUEST	3		request_1	1590688539386	1590688539391	OK	 
USER	TransportesAcabados	4	START	1590688539530	1590688539530
REQUEST	4		Home	1590688539531	1590688539546	OK	 
REQUEST	4		request_1	1590688539550	1590688539555	OK	 
USER	TransportesAcabados	5	START	1590688539704	1590688539704
REQUEST	5		Home	1590688539705	1590688539723	OK	 
REQUEST	5		request_1	1590688539727	1590688539732	OK	 
USER	TransportesAcabados	6	START	1590688539862	1590688539862
REQUEST	6		Home	1590688539863	1590688539877	OK	 
REQUEST	6		request_1	1590688539880	1590688539883	OK	 
USER	TransportesAcabados	7	START	1590688540034	1590688540034
REQUEST	7		Home	1590688540034	1590688540049	OK	 
REQUEST	7		request_1	1590688540052	1590688540058	OK	 
USER	TransportesAcabados	8	START	1590688540200	1590688540200
REQUEST	8		Home	1590688540201	1590688540209	OK	 
REQUEST	8		request_1	1590688540212	1590688540216	OK	 
USER	TransportesAcabados	9	START	1590688540361	1590688540361
REQUEST	9		Home	1590688540362	1590688540369	OK	 
REQUEST	9		request_1	1590688540372	1590688540376	OK	 
USER	TransportesAcabados	10	START	1590688540543	1590688540543
REQUEST	10		Home	1590688540543	1590688540549	OK	 
REQUEST	10		request_1	1590688540551	1590688540556	OK	 
USER	TransportesAcabados	11	START	1590688540716	1590688540716
REQUEST	11		Home	1590688540716	1590688540722	OK	 
REQUEST	11		request_1	1590688540725	1590688540728	OK	 
USER	TransportesAcabados	12	START	1590688540875	1590688540875
REQUEST	12		Home	1590688540876	1590688540882	OK	 
REQUEST	12		request_1	1590688540884	1590688540887	OK	 
USER	TransportesAcabados	13	START	1590688541040	1590688541040
REQUEST	13		Home	1590688541041	1590688541047	OK	 
REQUEST	13		request_1	1590688541050	1590688541055	OK	 
USER	TransportesAcabados	14	START	1590688541185	1590688541185
REQUEST	14		Home	1590688541186	1590688541191	OK	 
REQUEST	14		request_1	1590688541193	1590688541197	OK	 
USER	TransportesAcabados	15	START	1590688541350	1590688541350
REQUEST	15		Home	1590688541351	1590688541357	OK	 
REQUEST	15		request_1	1590688541360	1590688541365	OK	 
USER	TransportesAcabados	16	START	1590688541524	1590688541524
REQUEST	16		Home	1590688541525	1590688541530	OK	 
REQUEST	16		request_1	1590688541532	1590688541536	OK	 
USER	TransportesAcabados	17	START	1590688541685	1590688541685
REQUEST	17		Home	1590688541686	1590688541691	OK	 
REQUEST	17		request_1	1590688541694	1590688541697	OK	 
USER	TransportesAcabados	18	START	1590688541852	1590688541852
REQUEST	18		Home	1590688541853	1590688541858	OK	 
REQUEST	18		request_1	1590688541860	1590688541865	OK	 
USER	TransportesAcabados	19	START	1590688542025	1590688542025
REQUEST	19		Home	1590688542026	1590688542032	OK	 
REQUEST	19		request_1	1590688542034	1590688542039	OK	 
USER	TransportesAcabados	20	START	1590688542182	1590688542182
REQUEST	20		Home	1590688542182	1590688542188	OK	 
REQUEST	20		request_1	1590688542190	1590688542194	OK	 
REQUEST	1		Login	1590688542202	1590688542206	OK	 
REQUEST	2		Login	1590688542256	1590688542264	OK	 
REQUEST	1		request_4	1590688542217	1590688542221	OK	 
REQUEST	2		request_4	1590688542280	1590688542286	OK	 
USER	TransportesAcabados	21	START	1590688542353	1590688542353
REQUEST	21		Home	1590688542353	1590688542359	OK	 
REQUEST	21		request_1	1590688542361	1590688542364	OK	 
REQUEST	3		Login	1590688542401	1590688542405	OK	 
REQUEST	3		request_4	1590688542407	1590688542411	OK	 
USER	TransportesAcabados	22	START	1590688542524	1590688542524
REQUEST	22		Home	1590688542525	1590688542530	OK	 
REQUEST	22		request_1	1590688542532	1590688542535	OK	 
REQUEST	4		Login	1590688542572	1590688542577	OK	 
USER	TransportesAcabados	23	START	1590688542683	1590688542683
REQUEST	23		Home	1590688542684	1590688542749	OK	 
REQUEST	4		request_4	1590688542579	1590688542748	OK	 
REQUEST	23		request_1	1590688542751	1590688542758	OK	 
REQUEST	5		Login	1590688542760	1590688542766	OK	 
REQUEST	5		request_4	1590688542769	1590688542775	OK	 
USER	TransportesAcabados	24	START	1590688542850	1590688542850
REQUEST	24		Home	1590688542851	1590688542856	OK	 
REQUEST	24		request_1	1590688542859	1590688542864	OK	 
REQUEST	6		Login	1590688542893	1590688542898	OK	 
REQUEST	6		request_4	1590688542902	1590688542908	OK	 
USER	TransportesAcabados	25	START	1590688543025	1590688543025
REQUEST	25		Home	1590688543026	1590688543048	OK	 
REQUEST	25		request_1	1590688543050	1590688543056	OK	 
REQUEST	7		Login	1590688543064	1590688543067	OK	 
REQUEST	7		request_4	1590688543070	1590688543075	OK	 
USER	TransportesAcabados	26	START	1590688543182	1590688543182
REQUEST	26		Home	1590688543183	1590688543188	OK	 
REQUEST	26		request_1	1590688543190	1590688543194	OK	 
REQUEST	8		Login	1590688543236	1590688543241	OK	 
REQUEST	8		request_4	1590688543244	1590688543247	OK	 
USER	TransportesAcabados	27	START	1590688543350	1590688543350
REQUEST	27		Home	1590688543351	1590688543356	OK	 
REQUEST	27		request_1	1590688543358	1590688543362	OK	 
REQUEST	9		Login	1590688543392	1590688543396	OK	 
REQUEST	9		request_4	1590688543398	1590688543403	OK	 
USER	TransportesAcabados	28	START	1590688543522	1590688543522
REQUEST	28		Home	1590688543523	1590688543528	OK	 
REQUEST	28		request_1	1590688543530	1590688543534	OK	 
REQUEST	10		Login	1590688543575	1590688543579	OK	 
REQUEST	10		request_4	1590688543582	1590688543586	OK	 
USER	TransportesAcabados	29	START	1590688543680	1590688543680
REQUEST	29		Home	1590688543681	1590688543688	OK	 
REQUEST	29		request_1	1590688543690	1590688543696	OK	 
REQUEST	11		Login	1590688543734	1590688543738	OK	 
REQUEST	11		request_4	1590688543742	1590688543747	OK	 
USER	TransportesAcabados	30	START	1590688543852	1590688543852
REQUEST	30		Home	1590688543852	1590688543859	OK	 
REQUEST	30		request_1	1590688543861	1590688543865	OK	 
REQUEST	12		Login	1590688543895	1590688543899	OK	 
