ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerCursosDisponibles	vercursosdisponibles	1591032725147	 	3.3.1
USER	VerCursosDisponibles	1	START	1591032726378	1591032726378
REQUEST	1		Home	1591032726413	1591032726432	OK	 
USER	VerCursosDisponibles	2	START	1591032726479	1591032726479
REQUEST	2		Home	1591032726480	1591032726493	OK	 
USER	VerCursosDisponibles	3	START	1591032726559	1591032726559
REQUEST	3		Home	1591032726559	1591032726573	OK	 
USER	VerCursosDisponibles	4	START	1591032726651	1591032726651
REQUEST	4		Home	1591032726651	1591032726664	OK	 
USER	VerCursosDisponibles	5	START	1591032726731	1591032726731
REQUEST	5		Home	1591032726732	1591032726746	OK	 
USER	VerCursosDisponibles	6	START	1591032726811	1591032726811
REQUEST	6		Home	1591032726812	1591032726829	OK	 
USER	VerCursosDisponibles	7	START	1591032726895	1591032726895
REQUEST	7		Home	1591032726896	1591032726909	OK	 
USER	VerCursosDisponibles	8	START	1591032726980	1591032726980
REQUEST	8		Home	1591032726980	1591032726993	OK	 
USER	VerCursosDisponibles	9	START	1591032727057	1591032727057
REQUEST	9		Home	1591032727058	1591032727064	OK	 
USER	VerCursosDisponibles	10	START	1591032727146	1591032727146
REQUEST	10		Home	1591032727146	1591032727155	OK	 
USER	VerCursosDisponibles	11	START	1591032727227	1591032727227
REQUEST	11		Home	1591032727227	1591032727236	OK	 
USER	VerCursosDisponibles	12	START	1591032727308	1591032727308
REQUEST	12		Home	1591032727309	1591032727316	OK	 
USER	VerCursosDisponibles	13	START	1591032727398	1591032727398
REQUEST	13		Home	1591032727398	1591032727405	OK	 
USER	VerCursosDisponibles	14	START	1591032727478	1591032727478
REQUEST	14		Home	1591032727479	1591032727485	OK	 
USER	VerCursosDisponibles	15	START	1591032727558	1591032727558
REQUEST	15		Home	1591032727559	1591032727566	OK	 
USER	VerCursosDisponibles	16	START	1591032727649	1591032727649
REQUEST	16		Home	1591032727650	1591032727655	OK	 
USER	VerCursosDisponibles	17	START	1591032727728	1591032727728
REQUEST	17		Home	1591032727728	1591032727733	OK	 
