ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.InscribirCurso	inscribircurso	1591034988976	 	3.3.1
USER	InscribirCurso	1	START	1591034990227	1591034990227
REQUEST	1		Home	1591034990254	1591034990273	OK	 
USER	InscribirCurso	2	START	1591034990313	1591034990313
REQUEST	2		Home	1591034990314	1591034990330	OK	 
USER	InscribirCurso	3	START	1591034990383	1591034990383
REQUEST	3		Home	1591034990384	1591034990398	OK	 
USER	InscribirCurso	4	START	1591034990450	1591034990450
REQUEST	4		Home	1591034990451	1591034990463	OK	 
USER	InscribirCurso	5	START	1591034990525	1591034990525
REQUEST	5		Home	1591034990526	1591034990542	OK	 
USER	InscribirCurso	6	START	1591034990594	1591034990594
REQUEST	6		Home	1591034990594	1591034990607	OK	 
USER	InscribirCurso	7	START	1591034990661	1591034990661
REQUEST	7		Home	1591034990661	1591034990674	OK	 
USER	InscribirCurso	8	START	1591034990740	1591034990740
REQUEST	8		Home	1591034990741	1591034990755	OK	 
USER	InscribirCurso	9	START	1591034990815	1591034990815
REQUEST	9		Home	1591034990816	1591034990823	OK	 
USER	InscribirCurso	10	START	1591034990884	1591034990884
REQUEST	10		Home	1591034990885	1591034990892	OK	 
USER	InscribirCurso	11	START	1591034990952	1591034990952
REQUEST	11		Home	1591034990952	1591034990961	OK	 
USER	InscribirCurso	12	START	1591034991020	1591034991020
REQUEST	12		Home	1591034991021	1591034991028	OK	 
USER	InscribirCurso	13	START	1591034991090	1591034991090
REQUEST	13		Home	1591034991091	1591034991097	OK	 
USER	InscribirCurso	14	START	1591034991161	1591034991161
REQUEST	14		Home	1591034991161	1591034991167	OK	 
USER	InscribirCurso	15	START	1591034991243	1591034991243
REQUEST	15		Home	1591034991244	1591034991251	OK	 
USER	InscribirCurso	16	START	1591034991311	1591034991311
REQUEST	16		Home	1591034991311	1591034991316	OK	 
USER	InscribirCurso	17	START	1591034991390	1591034991390
REQUEST	17		Home	1591034991391	1591034991399	OK	 
USER	InscribirCurso	18	START	1591034991470	1591034991470
REQUEST	18		Home	1591034991471	1591034991475	OK	 
USER	InscribirCurso	19	START	1591034991547	1591034991547
REQUEST	19		Home	1591034991548	1591034991555	OK	 
USER	InscribirCurso	20	START	1591034991620	1591034991620
REQUEST	20		Home	1591034991621	1591034991626	OK	 
USER	InscribirCurso	21	START	1591034991700	1591034991700
REQUEST	21		Home	1591034991701	1591034991705	OK	 
USER	InscribirCurso	22	START	1591034991775	1591034991775
REQUEST	22		Home	1591034991777	1591034991781	OK	 
USER	InscribirCurso	23	START	1591034991853	1591034991853
REQUEST	23		Home	1591034991853	1591034991858	OK	 
USER	InscribirCurso	24	START	1591034991932	1591034991932
REQUEST	24		Home	1591034991932	1591034991937	OK	 
USER	InscribirCurso	25	START	1591034992012	1591034992012
REQUEST	25		Home	1591034992012	1591034992016	OK	 
USER	InscribirCurso	26	START	1591034992082	1591034992082
REQUEST	26		Home	1591034992083	1591034992087	OK	 
USER	InscribirCurso	27	START	1591034992165	1591034992165
REQUEST	27		Home	1591034992165	1591034992170	OK	 
USER	InscribirCurso	28	START	1591034992247	1591034992247
REQUEST	28		Home	1591034992248	1591034992256	OK	 
USER	InscribirCurso	29	START	1591034992300	1591034992300
REQUEST	29		Home	1591034992301	1591034992305	OK	 
USER	InscribirCurso	30	START	1591034992375	1591034992375
REQUEST	30		Home	1591034992376	1591034992386	OK	 
USER	InscribirCurso	31	START	1591034992442	1591034992442
REQUEST	31		Home	1591034992443	1591034992448	OK	 
USER	InscribirCurso	32	START	1591034992510	1591034992510
REQUEST	32		Home	1591034992511	1591034992516	OK	 
USER	InscribirCurso	33	START	1591034992584	1591034992584
REQUEST	33		Home	1591034992584	1591034992589	OK	 
USER	InscribirCurso	34	START	1591034992652	1591034992652
REQUEST	34		Home	1591034992653	1591034992657	OK	 
USER	InscribirCurso	35	START	1591034992722	1591034992722
REQUEST	35		Home	1591034992722	1591034992726	OK	 
USER	InscribirCurso	36	START	1591034992803	1591034992803
REQUEST	36		Home	1591034992803	1591034992808	OK	 
USER	InscribirCurso	37	START	1591034992874	1591034992874
REQUEST	37		Home	1591034992875	1591034992880	OK	 
USER	InscribirCurso	38	START	1591034992943	1591034992943
REQUEST	38		Home	1591034992943	1591034992947	OK	 
USER	InscribirCurso	39	START	1591034993011	1591034993011
REQUEST	39		Home	1591034993011	1591034993016	OK	 
USER	InscribirCurso	40	START	1591034993101	1591034993101
REQUEST	40		Home	1591034993102	1591034993106	OK	 
USER	InscribirCurso	41	START	1591034993170	1591034993170
REQUEST	41		Home	1591034993171	1591034993175	OK	 
USER	InscribirCurso	42	START	1591034993244	1591034993244
REQUEST	42		Home	1591034993244	1591034993248	OK	 
USER	InscribirCurso	43	START	1591034993323	1591034993323
REQUEST	43		Home	1591034993324	1591034993328	OK	 
USER	InscribirCurso	44	START	1591034993391	1591034993391
REQUEST	44		Home	1591034993391	1591034993395	OK	 
USER	InscribirCurso	45	START	1591034993475	1591034993475
REQUEST	45		Home	1591034993476	1591034993480	OK	 
USER	InscribirCurso	46	START	1591034993555	1591034993555
REQUEST	46		Home	1591034993555	1591034993560	OK	 
USER	InscribirCurso	47	START	1591034993627	1591034993627
REQUEST	47		Home	1591034993628	1591034993635	OK	 
USER	InscribirCurso	48	START	1591034993702	1591034993702
REQUEST	48		Home	1591034993702	1591034993708	OK	 
USER	InscribirCurso	49	START	1591034993780	1591034993780
REQUEST	49		Home	1591034993781	1591034993785	OK	 
USER	InscribirCurso	50	START	1591034993855	1591034993855
REQUEST	50		Home	1591034993857	1591034993862	OK	 
USER	InscribirCurso	51	START	1591034993936	1591034993936
REQUEST	51		Home	1591034993936	1591034993941	OK	 
USER	InscribirCurso	52	START	1591034994015	1591034994015
REQUEST	52		Home	1591034994016	1591034994022	OK	 
USER	InscribirCurso	53	START	1591034994095	1591034994095
REQUEST	53		Home	1591034994096	1591034994103	OK	 
USER	InscribirCurso	54	START	1591034994166	1591034994166
REQUEST	54		Home	1591034994166	1591034994171	OK	 
USER	InscribirCurso	55	START	1591034994241	1591034994241
REQUEST	55		Home	1591034994242	1591034994252	OK	 
USER	InscribirCurso	56	START	1591034994310	1591034994310
REQUEST	56		Home	1591034994311	1591034994315	OK	 
USER	InscribirCurso	57	START	1591034994380	1591034994380
REQUEST	57		Home	1591034994381	1591034994387	OK	 
USER	InscribirCurso	58	START	1591034994454	1591034994454
REQUEST	58		Home	1591034994455	1591034994465	OK	 
USER	InscribirCurso	59	START	1591034994532	1591034994532
REQUEST	59		Home	1591034994533	1591034994543	OK	 
USER	InscribirCurso	60	START	1591034994601	1591034994601
REQUEST	60		Home	1591034994601	1591034994605	OK	 
USER	InscribirCurso	61	START	1591034994672	1591034994672
REQUEST	61		Home	1591034994672	1591034994676	OK	 
USER	InscribirCurso	62	START	1591034994741	1591034994741
REQUEST	62		Home	1591034994741	1591034994745	OK	 
USER	InscribirCurso	63	START	1591034994816	1591034994816
REQUEST	63		Home	1591034994818	1591034994823	OK	 
USER	InscribirCurso	64	START	1591034994885	1591034994885
REQUEST	64		Home	1591034994885	1591034994889	OK	 
USER	InscribirCurso	65	START	1591034994953	1591034994953
REQUEST	65		Home	1591034994954	1591034994957	OK	 
USER	InscribirCurso	66	START	1591034995033	1591034995033
REQUEST	66		Home	1591034995033	1591034995037	OK	 
USER	InscribirCurso	67	START	1591034995103	1591034995103
REQUEST	67		Home	1591034995103	1591034995108	OK	 
USER	InscribirCurso	68	START	1591034995173	1591034995173
REQUEST	68		Home	1591034995173	1591034995177	OK	 
USER	InscribirCurso	69	START	1591034995243	1591034995243
REQUEST	69		Home	1591034995243	1591034995247	OK	 
USER	InscribirCurso	70	START	1591034995316	1591034995316
REQUEST	70		Home	1591034995317	1591034995321	OK	 
REQUEST	1		IniciarSesion	1591034995291	1591034995294	OK	 
REQUEST	2		IniciarSesion	1591034995341	1591034995346	OK	 
USER	InscribirCurso	71	START	1591034995394	1591034995394
REQUEST	71		Home	1591034995394	1591034995398	OK	 
REQUEST	3		IniciarSesion	1591034995416	1591034995419	OK	 
USER	InscribirCurso	72	START	1591034995472	1591034995472
REQUEST	72		Home	1591034995473	1591034995479	OK	 
REQUEST	4		IniciarSesion	1591034995483	1591034995489	OK	 
USER	InscribirCurso	73	START	1591034995551	1591034995551
REQUEST	73		Home	1591034995551	1591034995555	OK	 
REQUEST	5		IniciarSesion	1591034995562	1591034995565	OK	 
USER	InscribirCurso	74	START	1591034995621	1591034995621
REQUEST	74		Home	1591034995621	1591034995627	OK	 
REQUEST	6		IniciarSesion	1591034995621	1591034995626	OK	 
USER	InscribirCurso	75	START	1591034995700	1591034995700
REQUEST	7		IniciarSesion	1591034995696	1591034995702	OK	 
REQUEST	75		Home	1591034995701	1591034995707	OK	 
USER	InscribirCurso	76	START	1591034995780	1591034995780
REQUEST	8		IniciarSesion	1591034995776	1591034995780	OK	 
REQUEST	76		Home	1591034995781	1591034995786	OK	 
REQUEST	9		IniciarSesion	1591034995834	1591034995837	OK	 
USER	InscribirCurso	77	START	1591034995855	1591034995855
REQUEST	77		Home	1591034995855	1591034995859	OK	 
REQUEST	10		IniciarSesion	1591034995902	1591034995906	OK	 
USER	InscribirCurso	78	START	1591034995935	1591034995935
REQUEST	78		Home	1591034995935	1591034995939	OK	 
REQUEST	11		IniciarSesion	1591034995983	1591034995987	OK	 
USER	InscribirCurso	79	START	1591034996015	1591034996015
REQUEST	79		Home	1591034996016	1591034996019	OK	 
REQUEST	12		IniciarSesion	1591034996041	1591034996045	OK	 
USER	InscribirCurso	80	START	1591034996085	1591034996085
REQUEST	80		Home	1591034996086	1591034996089	OK	 
REQUEST	13		IniciarSesion	1591034996111	1591034996114	OK	 
USER	InscribirCurso	81	START	1591034996165	1591034996165
REQUEST	81		Home	1591034996165	1591034996169	OK	 
REQUEST	14		IniciarSesion	1591034996181	1591034996184	OK	 
USER	InscribirCurso	82	START	1591034996245	1591034996245
REQUEST	82		Home	1591034996245	1591034996250	OK	 
REQUEST	15		IniciarSesion	1591034996261	1591034996264	OK	 
USER	InscribirCurso	83	START	1591034996314	1591034996314
REQUEST	83		Home	1591034996314	1591034996318	OK	 
REQUEST	16		IniciarSesion	1591034996336	1591034996341	OK	 
USER	InscribirCurso	84	START	1591034996382	1591034996382
REQUEST	84		Home	1591034996382	1591034996387	OK	 
REQUEST	17		IniciarSesion	1591034996425	1591034996428	OK	 
USER	InscribirCurso	85	START	1591034996452	1591034996452
REQUEST	85		Home	1591034996452	1591034996456	OK	 
REQUEST	18		IniciarSesion	1591034996494	1591034996497	OK	 
USER	InscribirCurso	86	START	1591034996521	1591034996521
REQUEST	86		Home	1591034996521	1591034996525	OK	 
REQUEST	19		IniciarSesion	1591034996568	1591034996574	OK	 
USER	InscribirCurso	87	START	1591034996591	1591034996591
REQUEST	87		Home	1591034996591	1591034996596	OK	 
REQUEST	20		IniciarSesion	1591034996647	1591034996652	OK	 
USER	InscribirCurso	88	START	1591034996661	1591034996661
REQUEST	88		Home	1591034996661	1591034996665	OK	 
REQUEST	21		IniciarSesion	1591034996726	1591034996730	OK	 
USER	InscribirCurso	89	START	1591034996740	1591034996740
REQUEST	89		Home	1591034996741	1591034996745	OK	 
REQUEST	22		IniciarSesion	1591034996793	1591034996797	OK	 
USER	InscribirCurso	90	START	1591034996813	1591034996813
REQUEST	90		Home	1591034996814	1591034996818	OK	 
REQUEST	23		IniciarSesion	1591034996871	1591034996874	OK	 
USER	InscribirCurso	91	START	1591034996881	1591034996881
REQUEST	91		Home	1591034996882	1591034996885	OK	 
