ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.SolicitarTransporteMaxRendPerfomance	solicitartransportemaxrendperfomance	1590696459136	 	3.3.1
USER	solicitarTransportePos	1	START	1590696460577	1590696460577
USER	solicitarTransporteNeg	8	START	1590696460582	1590696460582
REQUEST	1		Home	1590696460611	1590696460684	OK	 
REQUEST	8		Home	1590696460610	1590696460684	OK	 
REQUEST	1		request_1	1590696460780	1590696460788	OK	 
REQUEST	8		request_1	1590696460781	1590696460797	OK	 
USER	solicitarTransporteNeg	9	START	1590696460910	1590696460910
REQUEST	9		Home	1590696460911	1590696460918	OK	 
USER	solicitarTransportePos	2	START	1590696460921	1590696460921
REQUEST	9		request_1	1590696460921	1590696460927	OK	 
REQUEST	2		Home	1590696460922	1590696460938	OK	 
REQUEST	2		request_1	1590696460942	1590696460946	OK	 
USER	solicitarTransporteNeg	10	START	1590696461241	1590696461241
REQUEST	10		Home	1590696461241	1590696461247	OK	 
USER	solicitarTransportePos	3	START	1590696461252	1590696461252
REQUEST	10		request_1	1590696461251	1590696461256	OK	 
REQUEST	3		Home	1590696461252	1590696461270	OK	 
REQUEST	3		request_1	1590696461272	1590696461277	OK	 
USER	solicitarTransporteNeg	11	START	1590696461581	1590696461581
USER	solicitarTransportePos	4	START	1590696461581	1590696461581
REQUEST	11		Home	1590696461582	1590696461589	OK	 
REQUEST	4		Home	1590696461582	1590696461601	OK	 
REQUEST	11		request_1	1590696461597	1590696461602	OK	 
REQUEST	4		request_1	1590696461604	1590696461609	OK	 
USER	solicitarTransporteNeg	12	START	1590696461911	1590696461911
REQUEST	12		Home	1590696461911	1590696461917	OK	 
USER	solicitarTransportePos	5	START	1590696461922	1590696461922
REQUEST	12		request_1	1590696461920	1590696461925	OK	 
REQUEST	5		Home	1590696461922	1590696461937	OK	 
REQUEST	5		request_1	1590696461939	1590696461944	OK	 
USER	solicitarTransporteNeg	13	START	1590696462240	1590696462240
REQUEST	13		Home	1590696462241	1590696462246	OK	 
USER	solicitarTransportePos	6	START	1590696462251	1590696462251
REQUEST	13		request_1	1590696462249	1590696462255	OK	 
REQUEST	6		Home	1590696462252	1590696462265	OK	 
REQUEST	6		request_1	1590696462267	1590696462271	OK	 
USER	solicitarTransporteNeg	14	START	1590696462582	1590696462582
USER	solicitarTransportePos	7	START	1590696462582	1590696462582
REQUEST	14		Home	1590696462582	1590696462590	OK	 
REQUEST	7		Home	1590696462582	1590696462597	OK	 
REQUEST	14		request_1	1590696462598	1590696462603	OK	 
REQUEST	7		request_1	1590696462600	1590696462605	OK	 
USER	solicitarTransportePos	15	START	1590696462923	1590696462923
USER	solicitarTransporteNeg	18	START	1590696462923	1590696462923
REQUEST	15		Home	1590696462924	1590696462932	OK	 
REQUEST	18		Home	1590696462924	1590696462933	OK	 
REQUEST	15		request_1	1590696462935	1590696462941	OK	 
REQUEST	18		request_1	1590696462935	1590696462941	OK	 
USER	solicitarTransporteNeg	19	START	1590696463251	1590696463251
USER	solicitarTransportePos	16	START	1590696463251	1590696463251
REQUEST	19		Home	1590696463252	1590696463259	OK	 
REQUEST	16		Home	1590696463252	1590696463259	OK	 
REQUEST	16		request_1	1590696463261	1590696463267	OK	 
REQUEST	19		request_1	1590696463261	1590696463268	OK	 
USER	solicitarTransportePos	17	START	1590696463592	1590696463592
USER	solicitarTransporteNeg	20	START	1590696463592	1590696463592
REQUEST	17		Home	1590696463593	1590696463603	OK	 
REQUEST	20		Home	1590696463593	1590696463609	OK	 
REQUEST	17		request_1	1590696463606	1590696463613	OK	 
REQUEST	20		request_1	1590696463613	1590696463619	OK	 
USER	solicitarTransportePos	21	START	1590696463934	1590696463934
USER	solicitarTransporteNeg	24	START	1590696463934	1590696463934
REQUEST	24		Home	1590696463934	1590696463941	OK	 
REQUEST	21		Home	1590696463934	1590696463941	OK	 
REQUEST	24		request_1	1590696463943	1590696463949	OK	 
REQUEST	21		request_1	1590696463943	1590696463949	OK	 
USER	solicitarTransporteNeg	25	START	1590696464264	1590696464264
USER	solicitarTransportePos	22	START	1590696464264	1590696464264
REQUEST	25		Home	1590696464265	1590696464271	OK	 
REQUEST	22		Home	1590696464265	1590696464272	OK	 
REQUEST	22		request_1	1590696464275	1590696464280	OK	 
REQUEST	25		request_1	1590696464274	1590696464280	OK	 
USER	solicitarTransporteNeg	26	START	1590696464593	1590696464593
REQUEST	26		Home	1590696464593	1590696464598	OK	 
USER	solicitarTransportePos	23	START	1590696464605	1590696464605
REQUEST	26		request_1	1590696464601	1590696464606	OK	 
REQUEST	23		Home	1590696464605	1590696464611	OK	 
REQUEST	23		request_1	1590696464613	1590696464618	OK	 
USER	solicitarTransportePos	27	START	1590696465071	1590696465071
USER	solicitarTransporteNeg	29	START	1590696465071	1590696465071
REQUEST	27		Home	1590696465072	1590696465079	OK	 
REQUEST	29		Home	1590696465072	1590696465079	OK	 
REQUEST	29		request_1	1590696465081	1590696465086	OK	 
REQUEST	27		request_1	1590696465081	1590696465086	OK	 
USER	solicitarTransporteNeg	30	START	1590696465572	1590696465572
USER	solicitarTransportePos	28	START	1590696465572	1590696465572
REQUEST	28		Home	1590696465573	1590696465579	OK	 
REQUEST	30		Home	1590696465573	1590696465580	OK	 
REQUEST	30		request_1	1590696465582	1590696465586	OK	 
REQUEST	28		request_1	1590696465581	1590696465586	OK	 
REQUEST	1		Login	1590696465814	1590696465821	OK	 
REQUEST	8		Login	1590696465814	1590696465821	OK	 
REQUEST	8		request_3	1590696465832	1590696465837	OK	 
REQUEST	1		request_3	1590696465832	1590696465837	OK	 
USER	solicitarTransportePos	31	START	1590696465924	1590696465924
USER	solicitarTransporteNeg	34	START	1590696465924	1590696465924
REQUEST	31		Home	1590696465925	1590696465933	OK	 
REQUEST	34		Home	1590696465927	1590696465937	OK	 
REQUEST	34		request_1	1590696465940	1590696465946	OK	 
REQUEST	31		request_1	1590696465938	1590696465946	OK	 
REQUEST	9		Login	1590696465942	1590696465949	OK	 
REQUEST	9		request_3	1590696465952	1590696465956	OK	 
REQUEST	2		Login	1590696465963	1590696465967	OK	 
REQUEST	2		request_3	1590696465970	1590696465976	OK	 
USER	solicitarTransporteNeg	35	START	1590696466249	1590696466249
USER	solicitarTransportePos	32	START	1590696466249	1590696466249
REQUEST	32		Home	1590696466250	1590696466256	OK	 
REQUEST	35		Home	1590696466250	1590696466256	OK	 
REQUEST	35		request_1	1590696466258	1590696466267	OK	 
REQUEST	32		request_1	1590696466258	1590696466269	OK	 
REQUEST	10		Login	1590696466273	1590696466277	OK	 
REQUEST	10		request_3	1590696466281	1590696466286	OK	 
REQUEST	3		Login	1590696466294	1590696466298	OK	 
REQUEST	3		request_3	1590696466301	1590696466304	OK	 
USER	solicitarTransportePos	33	START	1590696466583	1590696466583
USER	solicitarTransporteNeg	36	START	1590696466583	1590696466583
REQUEST	33		Home	1590696466583	1590696466593	OK	 
REQUEST	36		Home	1590696466584	1590696466593	OK	 
REQUEST	33		request_1	1590696466595	1590696466603	OK	 
REQUEST	36		request_1	1590696466597	1590696466603	OK	 
REQUEST	11		Login	1590696466620	1590696466626	OK	 
REQUEST	4		Login	1590696466620	1590696466626	OK	 
REQUEST	4		request_3	1590696466629	1590696466636	OK	 
REQUEST	11		request_3	1590696466629	1590696466637	OK	 
USER	solicitarTransporteNeg	40	START	1590696466919	1590696466919
USER	solicitarTransportePos	37	START	1590696466919	1590696466919
REQUEST	37		Home	1590696466920	1590696466926	OK	 
REQUEST	40		Home	1590696466920	1590696466926	OK	 
REQUEST	37		request_1	1590696466928	1590696466932	OK	 
REQUEST	40		request_1	1590696466928	1590696466933	OK	 
REQUEST	12		Login	1590696466941	1590696466945	OK	 
REQUEST	12		request_3	1590696466947	1590696466952	OK	 
REQUEST	5		Login	1590696466962	1590696466966	OK	 
REQUEST	5		request_3	1590696466968	1590696466972	OK	 
USER	solicitarTransportePos	38	START	1590696467250	1590696467250
USER	solicitarTransporteNeg	41	START	1590696467250	1590696467250
REQUEST	41		Home	1590696467251	1590696467258	OK	 
REQUEST	38		Home	1590696467251	1590696467262	OK	 
REQUEST	41		request_1	1590696467260	1590696467267	OK	 
REQUEST	38		request_1	1590696467265	1590696467273	OK	 
REQUEST	13		Login	1590696467270	1590696467278	OK	 
REQUEST	13		request_3	1590696467280	1590696467284	OK	 
REQUEST	6		Login	1590696467284	1590696467287	OK	 
REQUEST	6		request_3	1590696467289	1590696467294	OK	 
USER	solicitarTransportePos	39	START	1590696467583	1590696467583
USER	solicitarTransporteNeg	42	START	1590696467583	1590696467583
REQUEST	39		Home	1590696467584	1590696467591	OK	 
REQUEST	42		Home	1590696467584	1590696467591	OK	 
REQUEST	42		request_1	1590696467593	1590696467598	OK	 
REQUEST	39		request_1	1590696467592	1590696467598	OK	 
REQUEST	7		Login	1590696467609	1590696467615	OK	 
REQUEST	14		Login	1590696467609	1590696467617	OK	 
REQUEST	7		request_3	1590696467618	1590696467627	OK	 
REQUEST	14		request_3	1590696467620	1590696467627	OK	 
USER	solicitarTransporteNeg	46	START	1590696467919	1590696467919
USER	solicitarTransportePos	43	START	1590696467919	1590696467919
REQUEST	46		Home	1590696467920	1590696467926	OK	 
REQUEST	43		Home	1590696467920	1590696467926	OK	 
REQUEST	43		request_1	1590696467928	1590696467933	OK	 
REQUEST	46		request_1	1590696467928	1590696467935	OK	 
REQUEST	18		Login	1590696467950	1590696467955	OK	 
REQUEST	15		Login	1590696467950	1590696467955	OK	 
REQUEST	18		request_3	1590696467957	1590696467965	OK	 
REQUEST	15		request_3	1590696467958	1590696467968	OK	 
USER	solicitarTransportePos	44	START	1590696468249	1590696468249
USER	solicitarTransporteNeg	47	START	1590696468249	1590696468249
REQUEST	47		Home	1590696468250	1590696468256	OK	 
REQUEST	44		Home	1590696468250	1590696468256	OK	 
REQUEST	44		request_1	1590696468258	1590696468264	OK	 
REQUEST	47		request_1	1590696468258	1590696468264	OK	 
REQUEST	16		Login	1590696468282	1590696468287	OK	 
REQUEST	19		Login	1590696468282	1590696468288	OK	 
REQUEST	16		request_3	1590696468291	1590696468297	OK	 
REQUEST	19		request_3	1590696468289	1590696468301	OK	 
USER	solicitarTransportePos	45	START	1590696468583	1590696468583
USER	solicitarTransporteNeg	48	START	1590696468583	1590696468583
REQUEST	45		Home	1590696468584	1590696468591	OK	 
REQUEST	48		Home	1590696468584	1590696468591	OK	 
REQUEST	48		request_1	1590696468593	1590696468601	OK	 
REQUEST	45		request_1	1590696468595	1590696468603	OK	 
REQUEST	17		Login	1590696468624	1590696468627	OK	 
REQUEST	17		request_3	1590696468629	1590696468634	OK	 
REQUEST	20		Login	1590696468634	1590696468639	OK	 
REQUEST	20		request_3	1590696468641	1590696468647	OK	 
USER	solicitarTransporteNeg	52	START	1590696468919	1590696468919
USER	solicitarTransportePos	49	START	1590696468919	1590696468919
REQUEST	49		Home	1590696468919	1590696468926	OK	 
REQUEST	52		Home	1590696468919	1590696468926	OK	 
REQUEST	52		request_1	1590696468928	1590696468932	OK	 
REQUEST	49		request_1	1590696468928	1590696468933	OK	 
REQUEST	21		Login	1590696468961	1590696468966	OK	 
REQUEST	24		Login	1590696468961	1590696468967	OK	 
REQUEST	21		request_3	1590696468968	1590696468974	OK	 
REQUEST	24		request_3	1590696468969	1590696468974	OK	 
USER	solicitarTransportePos	50	START	1590696469253	1590696469253
USER	solicitarTransporteNeg	53	START	1590696469253	1590696469253
REQUEST	53		Home	1590696469253	1590696469260	OK	 
REQUEST	50		Home	1590696469253	1590696469260	OK	 
REQUEST	50		request_1	1590696469261	1590696469267	OK	 
REQUEST	53		request_1	1590696469261	1590696469267	OK	 
REQUEST	22		Login	1590696469300	1590696469305	OK	 
REQUEST	25		Login	1590696469300	1590696469305	OK	 
REQUEST	22		request_3	1590696469307	1590696469312	OK	 
REQUEST	25		request_3	1590696469307	1590696469316	OK	 
USER	solicitarTransporteNeg	54	START	1590696469582	1590696469582
USER	solicitarTransportePos	51	START	1590696469582	1590696469582
REQUEST	51		Home	1590696469583	1590696469590	OK	 
REQUEST	54		Home	1590696469583	1590696469592	OK	 
REQUEST	51		request_1	1590696469592	1590696469598	OK	 
REQUEST	54		request_1	1590696469594	1590696469599	OK	 
REQUEST	26		Login	1590696469609	1590696469613	OK	 
REQUEST	26		request_3	1590696469615	1590696469618	OK	 
REQUEST	23		Login	1590696469630	1590696469633	OK	 
REQUEST	23		request_3	1590696469635	1590696469640	OK	 
USER	solicitarTransportePos	55	START	1590696470093	1590696470093
USER	solicitarTransporteNeg	57	START	1590696470093	1590696470093
REQUEST	57		Home	1590696470093	1590696470099	OK	 
REQUEST	55		Home	1590696470093	1590696470100	OK	 
REQUEST	55		request_1	1590696470101	1590696470106	OK	 
REQUEST	57		request_1	1590696470101	1590696470107	OK	 
REQUEST	27		Login	1590696470105	1590696470111	OK	 
REQUEST	29		Login	1590696470104	1590696470112	OK	 
REQUEST	27		request_3	1590696470113	1590696470118	OK	 
REQUEST	29		request_3	1590696470113	1590696470118	OK	 
USER	solicitarTransportePos	56	START	1590696470593	1590696470593
USER	solicitarTransporteNeg	58	START	1590696470593	1590696470593
REQUEST	58		Home	1590696470594	1590696470600	OK	 
REQUEST	56		Home	1590696470594	1590696470600	OK	 
REQUEST	56		request_1	1590696470601	1590696470607	OK	 
REQUEST	58		request_1	1590696470601	1590696470609	OK	 
REQUEST	30		Login	1590696470604	1590696470611	OK	 
REQUEST	28		Login	1590696470606	1590696470615	OK	 
REQUEST	30		request_3	1590696470614	1590696470623	OK	 
REQUEST	28		request_3	1590696470617	1590696470627	OK	 
USER	solicitarTransporteNeg	62	START	1590696470919	1590696470919
USER	solicitarTransportePos	59	START	1590696470919	1590696470919
REQUEST	62		Home	1590696470920	1590696470926	OK	 
REQUEST	59		Home	1590696470920	1590696470926	OK	 
REQUEST	59		request_1	1590696470927	1590696470932	OK	 
REQUEST	62		request_1	1590696470927	1590696470933	OK	 
REQUEST	34		Login	1590696470961	1590696470967	OK	 
REQUEST	31		Login	1590696470961	1590696470967	OK	 
REQUEST	31		request_3	1590696470968	1590696470974	OK	 
REQUEST	34		request_3	1590696470968	1590696470974	OK	 
USER	solicitarTransportePos	60	START	1590696471252	1590696471252
USER	solicitarTransporteNeg	63	START	1590696471252	1590696471252
REQUEST	63		Home	1590696471252	1590696471257	OK	 
REQUEST	60		Home	1590696471252	1590696471258	OK	 
REQUEST	63		request_1	1590696471259	1590696471264	OK	 
REQUEST	60		request_1	1590696471259	1590696471264	OK	 
REQUEST	35		Login	1590696471283	1590696471287	OK	 
REQUEST	32		Login	1590696471283	1590696471287	OK	 
REQUEST	32		request_3	1590696471289	1590696471294	OK	 
REQUEST	35		request_3	1590696471289	1590696471294	OK	 
USER	solicitarTransporteNeg	64	START	1590696471582	1590696471582
USER	solicitarTransportePos	61	START	1590696471582	1590696471582
REQUEST	61		Home	1590696471583	1590696471590	OK	 
REQUEST	64		Home	1590696471583	1590696471590	OK	 
