ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.TransportesAcabadosPerfomance	transportesacabadosperfomance	1590689484225	 	3.3.1
USER	TransportesAcabados	1	START	1590689485833	1590689485833
REQUEST	1		Home	1590689485862	1590689485897	OK	 
REQUEST	1		request_1	1590689485990	1590689485997	OK	 
USER	TransportesAcabados	2	START	1590689486014	1590689486014
REQUEST	2		Home	1590689486015	1590689486032	OK	 
REQUEST	2		request_1	1590689486036	1590689486042	OK	 
USER	TransportesAcabados	3	START	1590689486174	1590689486174
REQUEST	3		Home	1590689486175	1590689486190	OK	 
REQUEST	3		request_1	1590689486194	1590689486198	OK	 
USER	TransportesAcabados	4	START	1590689486341	1590689486341
REQUEST	4		Home	1590689486342	1590689486360	OK	 
REQUEST	4		request_1	1590689486363	1590689486367	OK	 
USER	TransportesAcabados	5	START	1590689486515	1590689486515
REQUEST	5		Home	1590689486516	1590689486533	OK	 
REQUEST	5		request_1	1590689486535	1590689486539	OK	 
USER	TransportesAcabados	6	START	1590689486672	1590689486672
REQUEST	6		Home	1590689486673	1590689486689	OK	 
REQUEST	6		request_1	1590689486692	1590689486696	OK	 
USER	TransportesAcabados	7	START	1590689486842	1590689486842
REQUEST	7		Home	1590689486842	1590689486856	OK	 
REQUEST	7		request_1	1590689486859	1590689486863	OK	 
USER	TransportesAcabados	8	START	1590689487013	1590689487013
REQUEST	8		Home	1590689487014	1590689487020	OK	 
REQUEST	8		request_1	1590689487023	1590689487030	OK	 
USER	TransportesAcabados	9	START	1590689487173	1590689487173
REQUEST	9		Home	1590689487174	1590689487180	OK	 
REQUEST	9		request_1	1590689487183	1590689487188	OK	 
USER	TransportesAcabados	10	START	1590689487340	1590689487340
REQUEST	10		Home	1590689487341	1590689487346	OK	 
REQUEST	10		request_1	1590689487349	1590689487355	OK	 
USER	TransportesAcabados	11	START	1590689487510	1590689487510
REQUEST	11		Home	1590689487511	1590689487517	OK	 
REQUEST	11		request_1	1590689487520	1590689487524	OK	 
USER	TransportesAcabados	12	START	1590689487673	1590689487673
REQUEST	12		Home	1590689487673	1590689487682	OK	 
REQUEST	12		request_1	1590689487685	1590689487689	OK	 
USER	TransportesAcabados	13	START	1590689487840	1590689487840
REQUEST	13		Home	1590689487841	1590689487847	OK	 
REQUEST	13		request_1	1590689487849	1590689487853	OK	 
USER	TransportesAcabados	14	START	1590689488012	1590689488012
REQUEST	14		Home	1590689488013	1590689488019	OK	 
REQUEST	14		request_1	1590689488022	1590689488029	OK	 
USER	TransportesAcabados	15	START	1590689488174	1590689488174
REQUEST	15		Home	1590689488175	1590689488181	OK	 
REQUEST	15		request_1	1590689488183	1590689488188	OK	 
USER	TransportesAcabados	16	START	1590689488341	1590689488341
REQUEST	16		Home	1590689488341	1590689488347	OK	 
REQUEST	16		request_1	1590689488350	1590689488353	OK	 
USER	TransportesAcabados	17	START	1590689488511	1590689488511
REQUEST	17		Home	1590689488512	1590689488518	OK	 
REQUEST	17		request_1	1590689488520	1590689488524	OK	 
USER	TransportesAcabados	18	START	1590689488673	1590689488673
REQUEST	18		Home	1590689488674	1590689488681	OK	 
REQUEST	18		request_1	1590689488684	1590689488693	OK	 
USER	TransportesAcabados	19	START	1590689488841	1590689488841
