ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerCertificado	vercertificado	1591037009059	 	3.3.1
USER	VerCertificado	1	START	1591037010367	1591037010367
REQUEST	1		Home	1591037010387	1591037010408	OK	 
USER	VerCertificado	2	START	1591037010449	1591037010449
REQUEST	2		Home	1591037010450	1591037010465	OK	 
USER	VerCertificado	3	START	1591037010530	1591037010530
REQUEST	3		Home	1591037010531	1591037010544	OK	 
USER	VerCertificado	4	START	1591037010608	1591037010608
REQUEST	4		Home	1591037010610	1591037010630	OK	 
USER	VerCertificado	5	START	1591037010677	1591037010677
REQUEST	5		Home	1591037010677	1591037010690	OK	 
USER	VerCertificado	6	START	1591037010760	1591037010760
REQUEST	6		Home	1591037010761	1591037010775	OK	 
USER	VerCertificado	7	START	1591037010848	1591037010848
REQUEST	7		Home	1591037010849	1591037010863	OK	 
USER	VerCertificado	8	START	1591037010917	1591037010917
REQUEST	8		Home	1591037010917	1591037010929	OK	 
USER	VerCertificado	9	START	1591037011000	1591037011000
REQUEST	9		Home	1591037011001	1591037011012	OK	 
USER	VerCertificado	10	START	1591037011079	1591037011079
REQUEST	10		Home	1591037011080	1591037011086	OK	 
USER	VerCertificado	11	START	1591037011149	1591037011149
REQUEST	11		Home	1591037011150	1591037011158	OK	 
USER	VerCertificado	12	START	1591037011229	1591037011229
REQUEST	12		Home	1591037011230	1591037011237	OK	 
USER	VerCertificado	13	START	1591037011307	1591037011307
REQUEST	13		Home	1591037011308	1591037011314	OK	 
USER	VerCertificado	14	START	1591037011387	1591037011387
REQUEST	14		Home	1591037011387	1591037011393	OK	 
USER	VerCertificado	15	START	1591037011461	1591037011461
REQUEST	15		Home	1591037011461	1591037011468	OK	 
USER	VerCertificado	16	START	1591037011541	1591037011541
REQUEST	16		Home	1591037011542	1591037011547	OK	 
USER	VerCertificado	17	START	1591037011621	1591037011621
REQUEST	17		Home	1591037011622	1591037011627	OK	 
USER	VerCertificado	18	START	1591037011690	1591037011690
REQUEST	18		Home	1591037011690	1591037011704	OK	 
USER	VerCertificado	19	START	1591037011770	1591037011770
REQUEST	19		Home	1591037011770	1591037011775	OK	 
USER	VerCertificado	20	START	1591037011850	1591037011850
REQUEST	20		Home	1591037011850	1591037011854	OK	 
USER	VerCertificado	21	START	1591037011918	1591037011918
REQUEST	21		Home	1591037011919	1591037011923	OK	 
USER	VerCertificado	22	START	1591037011997	1591037011997
REQUEST	22		Home	1591037011997	1591037012001	OK	 
USER	VerCertificado	23	START	1591037012081	1591037012081
REQUEST	23		Home	1591037012082	1591037012086	OK	 
USER	VerCertificado	24	START	1591037012151	1591037012151
REQUEST	24		Home	1591037012152	1591037012157	OK	 
USER	VerCertificado	25	START	1591037012231	1591037012231
REQUEST	25		Home	1591037012231	1591037012237	OK	 
USER	VerCertificado	26	START	1591037012310	1591037012310
REQUEST	26		Home	1591037012311	1591037012317	OK	 
USER	VerCertificado	27	START	1591037012389	1591037012389
REQUEST	27		Home	1591037012390	1591037012394	OK	 
USER	VerCertificado	28	START	1591037012458	1591037012458
REQUEST	28		Home	1591037012458	1591037012463	OK	 
USER	VerCertificado	29	START	1591037012537	1591037012537
REQUEST	29		Home	1591037012537	1591037012542	OK	 
USER	VerCertificado	30	START	1591037012611	1591037012611
REQUEST	30		Home	1591037012611	1591037012616	OK	 
USER	VerCertificado	31	START	1591037012689	1591037012689
REQUEST	31		Home	1591037012690	1591037012695	OK	 
USER	VerCertificado	32	START	1591037012768	1591037012768
REQUEST	32		Home	1591037012768	1591037012773	OK	 
USER	VerCertificado	33	START	1591037012839	1591037012839
REQUEST	33		Home	1591037012840	1591037012845	OK	 
USER	VerCertificado	34	START	1591037012918	1591037012918
REQUEST	34		Home	1591037012919	1591037012928	OK	 
USER	VerCertificado	35	START	1591037012997	1591037012997
REQUEST	35		Home	1591037012998	1591037013002	OK	 
USER	VerCertificado	36	START	1591037013067	1591037013067
REQUEST	36		Home	1591037013067	1591037013073	OK	 
USER	VerCertificado	37	START	1591037013147	1591037013147
REQUEST	37		Home	1591037013147	1591037013151	OK	 
USER	VerCertificado	38	START	1591037013227	1591037013227
REQUEST	38		Home	1591037013227	1591037013231	OK	 
USER	VerCertificado	39	START	1591037013307	1591037013307
REQUEST	39		Home	1591037013307	1591037013311	OK	 
USER	VerCertificado	40	START	1591037013380	1591037013380
REQUEST	40		Home	1591037013381	1591037013388	OK	 
USER	VerCertificado	41	START	1591037013457	1591037013457
REQUEST	41		Home	1591037013457	1591037013461	OK	 
USER	VerCertificado	42	START	1591037013530	1591037013530
REQUEST	42		Home	1591037013531	1591037013541	OK	 
USER	VerCertificado	43	START	1591037013609	1591037013609
REQUEST	43		Home	1591037013609	1591037013614	OK	 
USER	VerCertificado	44	START	1591037013689	1591037013689
REQUEST	44		Home	1591037013689	1591037013694	OK	 
USER	VerCertificado	45	START	1591037013757	1591037013757
REQUEST	45		Home	1591037013758	1591037013762	OK	 
USER	VerCertificado	46	START	1591037013842	1591037013842
REQUEST	46		Home	1591037013844	1591037013850	OK	 
USER	VerCertificado	47	START	1591037013921	1591037013921
REQUEST	47		Home	1591037013921	1591037013925	OK	 
USER	VerCertificado	48	START	1591037013989	1591037013989
REQUEST	48		Home	1591037013989	1591037013994	OK	 
USER	VerCertificado	49	START	1591037014067	1591037014067
REQUEST	49		Home	1591037014067	1591037014071	OK	 
USER	VerCertificado	50	START	1591037014152	1591037014152
REQUEST	50		Home	1591037014153	1591037014156	OK	 
USER	VerCertificado	51	START	1591037014232	1591037014232
REQUEST	51		Home	1591037014233	1591037014247	OK	 
USER	VerCertificado	52	START	1591037014299	1591037014299
REQUEST	52		Home	1591037014300	1591037014304	OK	 
USER	VerCertificado	53	START	1591037014379	1591037014379
REQUEST	53		Home	1591037014379	1591037014384	OK	 
USER	VerCertificado	54	START	1591037014459	1591037014459
REQUEST	54		Home	1591037014459	1591037014464	OK	 
USER	VerCertificado	55	START	1591037014527	1591037014527
REQUEST	55		Home	1591037014528	1591037014536	OK	 
USER	VerCertificado	56	START	1591037014612	1591037014612
REQUEST	56		Home	1591037014613	1591037014617	OK	 
USER	VerCertificado	57	START	1591037014691	1591037014691
REQUEST	57		Home	1591037014691	1591037014698	OK	 
USER	VerCertificado	58	START	1591037014771	1591037014771
REQUEST	58		Home	1591037014771	1591037014775	OK	 
USER	VerCertificado	59	START	1591037014838	1591037014838
REQUEST	59		Home	1591037014838	1591037014843	OK	 
USER	VerCertificado	60	START	1591037014917	1591037014917
REQUEST	60		Home	1591037014918	1591037014922	OK	 
USER	VerCertificado	61	START	1591037014998	1591037014998
REQUEST	61		Home	1591037014998	1591037015002	OK	 
USER	VerCertificado	62	START	1591037015067	1591037015067
REQUEST	62		Home	1591037015067	1591037015074	OK	 
USER	VerCertificado	63	START	1591037015147	1591037015147
REQUEST	63		Home	1591037015147	1591037015152	OK	 
USER	VerCertificado	64	START	1591037015231	1591037015231
REQUEST	64		Home	1591037015232	1591037015236	OK	 
USER	VerCertificado	65	START	1591037015300	1591037015300
REQUEST	65		Home	1591037015300	1591037015305	OK	 
USER	VerCertificado	66	START	1591037015381	1591037015381
REQUEST	66		Home	1591037015381	1591037015386	OK	 
USER	VerCertificado	67	START	1591037015458	1591037015458
REQUEST	67		Home	1591037015459	1591037015463	OK	 
USER	VerCertificado	68	START	1591037015527	1591037015527
REQUEST	68		Home	1591037015527	1591037015531	OK	 
USER	VerCertificado	69	START	1591037015612	1591037015612
REQUEST	69		Home	1591037015613	1591037015618	OK	 
USER	VerCertificado	70	START	1591037015691	1591037015691
REQUEST	70		Home	1591037015691	1591037015695	OK	 
USER	VerCertificado	71	START	1591037015760	1591037015760
REQUEST	71		Home	1591037015760	1591037015763	OK	 
USER	VerCertificado	72	START	1591037015838	1591037015838
REQUEST	72		Home	1591037015839	1591037015843	OK	 
USER	VerCertificado	73	START	1591037015917	1591037015917
REQUEST	73		Home	1591037015917	1591037015922	OK	 
USER	VerCertificado	74	START	1591037015991	1591037015991
REQUEST	74		Home	1591037015992	1591037015997	OK	 
USER	VerCertificado	75	START	1591037016070	1591037016070
REQUEST	75		Home	1591037016071	1591037016075	OK	 
USER	VerCertificado	76	START	1591037016149	1591037016149
REQUEST	76		Home	1591037016150	1591037016157	OK	 
USER	VerCertificado	77	START	1591037016227	1591037016227
REQUEST	77		Home	1591037016227	1591037016235	OK	 
USER	VerCertificado	78	START	1591037016300	1591037016300
REQUEST	78		Home	1591037016301	1591037016309	OK	 
USER	VerCertificado	79	START	1591037016379	1591037016379
REQUEST	79		Home	1591037016380	1591037016385	OK	 
